event_id,doc_id,stock_code,event_type,event_time,has_policy_support,policy_directly_related_to_business,event_mentions_core_product,evidence_from_authoritative_source,source_government_or_exchange,source_company_announcement,source_major_media,social_attention_spikes,policy_attention_followup,institutional_attention_increases,investor_questions_increase,management_response_vague,announcement_contains_uncertainty,risk_or_uncertainty_disclosure,demand_side_policy,supply_side_policy,capacity_policy_support,event_evidence_strength,event_has_short_term_price_impact
E213,S063,300450,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E214,S063,002812,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E215,S063,300207,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E216,S063,300073,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E217,S063,300438,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E218,S063,002594,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E219,S063,600104,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E220,S063,601633,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E221,S063,601127,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E222,S063,000625,attention_spread,2025-01-17,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E224,S065,601012,policy_support,2024-02-05,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,0.94,0.78
E225,S065,300274,policy_support,2024-02-05,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,0.94,0.78
E226,S065,300750,policy_support,2024-02-05,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,0.94,0.78
E227,S065,300014,policy_support,2024-02-05,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,0.94,0.78
E228,S065,605117,policy_support,2024-02-05,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,0.94,0.78
E229,S065,300763,policy_support,2024-02-05,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,0.94,0.78
E230,S066,601615,earnings_quality_anomaly,2026-04-29,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E243,S070,300772,earnings_quality_anomaly,2026-04-25,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E244,S071,300750,attention_spread,2026-06-15,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E245,S071,002594,attention_spread,2026-06-15,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E253,S074,688349,earnings_quality_anomaly,2026-04-23,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E265,S078,002080,inquiry_letter_pressure,2026-06-24,false,false,false,true,false,true,false,false,false,true,false,false,true,true,false,false,false,0.88,0.58
E276,S082,688063,earnings_quality_anomaly,2026-04-01,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E282,S085,002594,policy_support,2025-10-15,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E283,S085,600104,policy_support,2025-10-15,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E284,S085,300750,policy_support,2025-10-15,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E285,S085,300014,policy_support,2025-10-15,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E286,S085,605117,policy_support,2025-10-15,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E287,S085,300763,policy_support,2025-10-15,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E300,S090,300763,capacity_expansion,2026-06-09,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,0.90,0.63
E343,S098,002335,earnings_quality_anomaly,2026-04-27,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E356,S103,002594,attention_spread,2026-04-13,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E357,S103,600104,attention_spread,2026-04-13,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E358,S103,601633,attention_spread,2026-04-13,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E359,S103,601127,attention_spread,2026-04-13,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
