trade_month,signal_date,strategy,cost_bps,risk_weight,defensive_weight,net_return,nav,turnover,momentum_12m,volatility_60d,trend_positive,macro_acceleration,tradable
2024-03,2024-02-29,buy_hold,5,1.000000,0.000000,0.008093,1.008093,0.000000,-0.397925,0.339796,false,,true
2024-03,2024-02-29,trend,5,0.000000,1.000000,0.002415,1.002415,0.000000,-0.397925,0.339796,false,,true
2024-03,2024-02-29,trend_latest_macro,5,0.000000,1.000000,0.002415,1.002415,0.000000,-0.397925,0.339796,false,,true
2024-03,2024-02-29,trend_alphalens,5,0.000000,1.000000,0.002415,1.002415,0.000000,-0.397925,0.339796,false,2.314304,true
2024-03,2024-02-29,trend_oracle,5,0.000000,1.000000,0.002415,1.002415,0.000000,-0.397925,0.339796,false,,false
2024-04,2024-03-31,buy_hold,5,1.000000,0.000000,-0.006523,1.001517,0.000000,-0.356795,0.367628,false,,true
2024-04,2024-03-31,trend,5,0.000000,1.000000,0.002905,1.005327,0.000000,-0.356795,0.367628,false,,true
2024-04,2024-03-31,trend_latest_macro,5,0.000000,1.000000,0.002905,1.005327,0.000000,-0.356795,0.367628,false,,true
2024-04,2024-03-31,trend_alphalens,5,0.000000,1.000000,0.002905,1.005327,0.000000,-0.356795,0.367628,false,2.414547,true
2024-04,2024-03-31,trend_oracle,5,0.000000,1.000000,0.002905,1.005327,0.000000,-0.356795,0.367628,false,,false
2024-05,2024-04-30,buy_hold,5,1.000000,0.000000,-0.022727,0.978756,0.000000,-0.337423,0.353318,false,,true
2024-05,2024-04-30,trend,5,0.000000,1.000000,0.005232,1.010587,0.000000,-0.337423,0.353318,false,,true
2024-05,2024-04-30,trend_latest_macro,5,0.000000,1.000000,0.005232,1.010587,0.000000,-0.337423,0.353318,false,,true
2024-05,2024-04-30,trend_alphalens,5,0.000000,1.000000,0.005232,1.010587,0.000000,-0.337423,0.353318,false,3.971676,true
2024-05,2024-04-30,trend_oracle,5,0.000000,1.000000,0.005232,1.010587,0.000000,-0.337423,0.353318,false,,false
2024-06,2024-05-31,buy_hold,5,1.000000,0.000000,-0.120413,0.860900,0.000000,-0.297130,0.308353,false,,true
2024-06,2024-05-31,trend,5,0.000000,1.000000,0.006653,1.017311,0.000000,-0.297130,0.308353,false,,true
2024-06,2024-05-31,trend_latest_macro,5,0.000000,1.000000,0.006653,1.017311,0.000000,-0.297130,0.308353,false,,true
2024-06,2024-05-31,trend_alphalens,5,0.000000,1.000000,0.006653,1.017311,0.000000,-0.297130,0.308353,false,2.998087,true
2024-06,2024-05-31,trend_oracle,5,0.000000,1.000000,0.006653,1.017311,0.000000,-0.297130,0.308353,false,,false
2024-07,2024-06-30,buy_hold,5,1.000000,0.000000,0.024677,0.882145,0.000000,-0.401547,0.268453,false,,true
2024-07,2024-06-30,trend,5,0.000000,1.000000,0.006018,1.023432,0.000000,-0.401547,0.268453,false,,true
2024-07,2024-06-30,trend_latest_macro,5,0.000000,1.000000,0.006018,1.023432,0.000000,-0.401547,0.268453,false,,true
2024-07,2024-06-30,trend_alphalens,5,0.000000,1.000000,0.006018,1.023432,0.000000,-0.401547,0.268453,false,5.771146,true
2024-07,2024-06-30,trend_oracle,5,0.000000,1.000000,0.006018,1.023432,0.000000,-0.401547,0.268453,false,,false
2024-08,2024-07-31,buy_hold,5,1.000000,0.000000,-0.041284,0.845726,0.000000,-0.368402,0.234128,false,,true
2024-08,2024-07-31,trend,5,0.000000,1.000000,0.001989,1.025468,0.000000,-0.368402,0.234128,false,,true
2024-08,2024-07-31,trend_latest_macro,5,0.000000,1.000000,0.001989,1.025468,0.000000,-0.368402,0.234128,false,,true
2024-08,2024-07-31,trend_alphalens,5,0.000000,1.000000,0.001989,1.025468,0.000000,-0.368402,0.234128,false,5.762243,true
2024-08,2024-07-31,trend_oracle,5,0.000000,1.000000,0.001989,1.025468,0.000000,-0.368402,0.234128,false,,false
2024-09,2024-08-31,buy_hold,5,1.000000,0.000000,0.341507,1.134547,0.000000,-0.320404,0.207433,false,,true
2024-09,2024-08-31,trend,5,0.000000,1.000000,-0.007093,1.018195,0.000000,-0.320404,0.207433,false,,true
2024-09,2024-08-31,trend_latest_macro,5,0.000000,1.000000,-0.007093,1.018195,0.000000,-0.320404,0.207433,false,,true
2024-09,2024-08-31,trend_alphalens,5,0.000000,1.000000,-0.007093,1.018195,0.000000,-0.320404,0.207433,false,3.805139,true
2024-09,2024-08-31,trend_oracle,5,0.000000,1.000000,-0.007093,1.018195,0.000000,-0.320404,0.207433,false,,false
2024-10,2024-09-30,buy_hold,5,1.000000,0.000000,-0.039679,1.089530,0.000000,-0.123388,0.335802,false,,true
2024-10,2024-09-30,trend,5,0.000000,1.000000,0.010792,1.029183,0.000000,-0.123388,0.335802,false,,true
2024-10,2024-09-30,trend_latest_macro,5,0.000000,1.000000,0.010792,1.029183,0.000000,-0.123388,0.335802,false,,true
2024-10,2024-09-30,trend_alphalens,5,0.000000,1.000000,0.010792,1.029183,0.000000,-0.123388,0.335802,false,7.899741,true
2024-10,2024-09-30,trend_oracle,5,0.000000,1.000000,0.010792,1.029183,0.000000,-0.123388,0.335802,false,,false
2024-11,2024-10-31,buy_hold,5,1.000000,0.000000,-0.000929,1.088518,0.000000,-0.016364,0.465427,false,,true
2024-11,2024-10-31,trend,5,0.000000,1.000000,0.008367,1.037793,0.000000,-0.016364,0.465427,false,,true
2024-11,2024-10-31,trend_latest_macro,5,0.000000,1.000000,0.008367,1.037793,0.000000,-0.016364,0.465427,false,,true
2024-11,2024-10-31,trend_alphalens,5,0.000000,1.000000,0.008367,1.037793,0.000000,-0.016364,0.465427,false,6.580100,true
2024-11,2024-10-31,trend_oracle,5,0.000000,1.000000,0.008367,1.037793,0.000000,-0.016364,0.465427,false,,false
2024-12,2024-11-30,buy_hold,5,1.000000,0.000000,-0.079926,1.001517,0.000000,0.054688,0.488124,true,,true
2024-12,2024-11-30,trend,5,0.204866,0.795134,-0.006953,1.030577,0.204866,0.054688,0.488124,true,,true
2024-12,2024-11-30,trend_latest_macro,5,0.102433,0.897567,0.002512,1.040400,0.102433,0.054688,0.488124,true,,true
2024-12,2024-11-30,trend_alphalens,5,0.204866,0.795134,-0.006953,1.030577,0.204866,0.054688,0.488124,true,3.708355,true
2024-12,2024-11-30,trend_oracle,5,0.204866,0.795134,-0.006953,1.030577,0.204866,0.054688,0.488124,true,,false
2025-01,2024-12-31,buy_hold,5,1.000000,0.000000,-0.044444,0.957006,0.000000,-0.052228,0.352231,false,,true
2025-01,2024-12-31,trend,5,0.000000,1.000000,0.000400,1.030989,0.204866,-0.052228,0.352231,false,,true
2025-01,2024-12-31,trend_latest_macro,5,0.000000,1.000000,0.000451,1.040869,0.102433,-0.052228,0.352231,false,,true
2025-01,2024-12-31,trend_alphalens,5,0.000000,1.000000,0.000400,1.030989,0.204866,-0.052228,0.352231,false,3.551948,true
2025-01,2024-12-31,trend_oracle,5,0.000000,1.000000,0.000400,1.030989,0.204866,-0.052228,0.352231,false,,false
2025-03,2025-02-28,buy_hold,5,1.000000,0.000000,-0.040930,0.917836,0.000000,-0.001521,0.198391,false,,true
2025-03,2025-02-28,trend,5,0.000000,1.000000,-0.000421,1.030556,0.000000,-0.001521,0.198391,false,,true
2025-03,2025-02-28,trend_latest_macro,5,0.000000,1.000000,-0.000421,1.040432,0.000000,-0.001521,0.198391,false,,true
2025-03,2025-02-28,trend_alphalens,5,0.000000,1.000000,-0.000421,1.030556,0.000000,-0.001521,0.198391,false,1.960850,true
2025-03,2025-02-28,trend_oracle,5,0.000000,1.000000,-0.000421,1.030556,0.000000,-0.001521,0.198391,false,,false
2025-04,2025-03-31,buy_hold,5,1.000000,0.000000,-0.075342,0.848684,0.000000,-0.042864,0.204532,false,,true
2025-04,2025-03-31,trend,5,0.000000,1.000000,0.007409,1.038191,0.000000,-0.042864,0.204532,false,,true
2025-04,2025-03-31,trend_latest_macro,5,0.000000,1.000000,0.007409,1.048140,0.000000,-0.042864,0.204532,false,,true
2025-04,2025-03-31,trend_alphalens,5,0.000000,1.000000,0.007409,1.038191,0.000000,-0.042864,0.204532,false,0.160334,true
2025-04,2025-03-31,trend_oracle,5,0.000000,1.000000,0.007409,1.038191,0.000000,-0.042864,0.204532,false,,false
2025-05,2025-04-30,buy_hold,5,1.000000,0.000000,0.010256,0.857388,0.000000,-0.102366,0.266685,false,,true
2025-05,2025-04-30,trend,5,0.000000,1.000000,-0.000998,1.037155,0.000000,-0.102366,0.266685,false,,true
2025-05,2025-04-30,trend_latest_macro,5,0.000000,1.000000,-0.000998,1.047094,0.000000,-0.102366,0.266685,false,,true
2025-05,2025-04-30,trend_alphalens,5,0.000000,1.000000,-0.000998,1.037155,0.000000,-0.102366,0.266685,false,-1.903375,true
2025-05,2025-04-30,trend_oracle,5,0.000000,1.000000,-0.000998,1.037155,0.000000,-0.102366,0.266685,false,,false
2025-06,2025-05-31,buy_hold,5,1.000000,0.000000,0.066554,0.914450,0.000000,-0.083204,0.251892,false,,true
2025-06,2025-05-31,trend,5,0.000000,1.000000,0.003295,1.040572,0.000000,-0.083204,0.251892,false,,true
2025-06,2025-05-31,trend_latest_macro,5,0.000000,1.000000,0.003295,1.050544,0.000000,-0.083204,0.251892,false,,true
2025-06,2025-05-31,trend_alphalens,5,0.000000,1.000000,0.003295,1.040572,0.000000,-0.083204,0.251892,false,-3.445643,true
2025-06,2025-05-31,trend_oracle,5,0.000000,1.000000,0.003295,1.040572,0.000000,-0.083204,0.251892,false,,false
2025-07,2025-06-30,buy_hold,5,1.000000,0.000000,0.050767,0.960874,0.000000,0.111046,0.252188,true,,true
2025-07,2025-06-30,trend,5,0.396530,0.603470,0.018654,1.059983,0.396530,0.111046,0.252188,true,,true
2025-07,2025-06-30,trend_latest_macro,5,0.198265,0.801735,0.008267,1.059230,0.198265,0.111046,0.252188,true,,true
2025-07,2025-06-30,trend_alphalens,5,0.198265,0.801735,0.008267,1.049175,0.198265,0.111046,0.252188,true,-3.495466,true
2025-07,2025-06-30,trend_oracle,5,0.396530,0.603470,0.018654,1.059983,0.396530,0.111046,0.252188,true,,false
2025-08,2025-07-31,buy_hold,5,1.000000,0.000000,0.157524,1.112235,0.000000,0.137951,0.184386,true,,true
2025-08,2025-07-31,trend,5,0.542340,0.457660,0.084860,1.149933,0.145810,0.137951,0.184386,true,,true
2025-08,2025-07-31,trend_latest_macro,5,0.542340,0.457660,0.084761,1.149011,0.344075,0.137951,0.184386,true,,true
2025-08,2025-07-31,trend_alphalens,5,0.271170,0.728830,0.041885,1.093120,0.072905,0.137951,0.184386,true,-3.153531,true
2025-08,2025-07-31,trend_oracle,5,0.271170,0.728830,0.041859,1.104353,0.125360,0.137951,0.184386,true,,false
2025-09,2025-08-31,buy_hold,5,1.000000,0.000000,0.243478,1.383040,0.000000,0.365042,0.208822,true,,true
2025-09,2025-08-31,trend,5,0.478876,0.521124,0.112503,1.279303,0.063464,0.365042,0.208822,true,,true
2025-09,2025-08-31,trend_latest_macro,5,0.239438,0.760562,0.052219,1.209011,0.302902,0.365042,0.208822,true,,true
