split,group,sample_count,avg_forward_return_5d
discovery,G1,55,-0.001950
discovery,G2,17,-0.003568
discovery,G3,191,-0.000000
discovery,G4,40,0.000000
discovery,G5,27,0.009219
oos,G1,79,0.003303
oos,G2,36,-0.001527
oos,G3,251,-0.001352
oos,G4,140,-0.000000
oos,G5,31,-0.005555
