event_id,stock_code,event_time,entry_trade_date,exit_trade_date_5d,forward_return_5d,exit_trade_date_10d,forward_return_10d,future_info_ok
E156,002812,2026-06-10,2026-06-11,2026-06-17,0.153770,2026-06-25,0.119180,true
E163,300450,2026-03-31,2026-04-01,2026-04-08,0.044133,2026-04-15,0.084347,true
E164,002202,2026-06-13,2026-06-15,2026-06-22,0.065490,2026-06-29,0.009289,true
E165,601615,2026-06-13,2026-06-15,2026-06-22,0.034110,2026-06-29,-0.077371,true
E166,300772,2026-06-13,2026-06-15,2026-06-22,-0.041042,2026-06-29,-0.069455,true
E167,688349,2026-06-13,2026-06-15,2026-06-22,-0.051511,2026-06-29,0.025412,true
E168,002080,2026-06-13,2026-06-15,2026-06-22,0.312169,2026-06-29,0.408341,true
E170,002202,2026-03-28,2026-03-30,2026-04-03,-0.117990,2026-04-13,-0.120903,true
E171,300750,2025-01-17,2025-01-20,2025-01-24,0.022032,2025-02-10,0.013096,true
E172,300014,2025-01-17,2025-01-20,2025-01-24,-0.063174,2025-02-10,-0.033723,true
E173,002074,2025-01-17,2025-01-20,2025-01-24,-0.011396,2025-02-10,0.043685,true
E174,300207,2025-01-17,2025-01-20,2025-01-24,0.022706,2025-02-10,0.088458,true
E175,300438,2025-01-17,2025-01-20,2025-01-24,-0.048825,2025-02-10,0.010279,true
E176,603659,2025-01-17,2025-01-20,2025-01-24,-0.043971,2025-02-10,0.018654,true
E177,300073,2025-01-17,2025-01-20,2025-01-24,-0.017966,2025-02-10,0.054690,true
E178,002812,2025-01-17,2025-01-20,2025-01-24,-0.061602,2025-02-10,-0.017236,true
E179,300450,2025-01-17,2025-01-20,2025-01-24,0.022501,2025-02-10,0.056515,true
E180,002594,2025-01-17,2025-01-20,2025-01-24,0.000218,2025-02-10,0.185864,true
E181,601127,2025-01-17,2025-01-20,2025-01-24,-0.031130,2025-02-10,-0.031352,true
E182,000625,2025-01-17,2025-01-20,2025-01-24,-0.022329,2025-02-10,0.103668,true
E183,601633,2025-01-17,2025-01-20,2025-01-24,-0.039310,2025-02-10,0.003209,true
E184,600104,2025-01-17,2025-01-20,2025-01-24,0.003574,2025-02-10,0.077427,true
E186,601615,2026-04-29,2026-04-30,2026-05-11,0.133779,2026-05-18,0.070234,true
E199,300772,2026-04-25,2026-04-27,2026-05-06,0.030750,2026-05-13,0.038745,true
E200,300750,2026-06-15,2026-06-16,2026-06-23,-0.040036,2026-06-30,-0.038813,true
E201,002594,2026-06-15,2026-06-16,2026-06-23,-0.059214,2026-06-30,-0.117875,true
E203,688349,2026-04-23,2026-04-24,2026-04-30,0.000000,2026-05-12,-0.047872,true
E222,688063,2026-04-01,2026-04-02,2026-04-09,-0.035434,2026-04-16,0.052941,true
E236,300763,2026-06-09,2026-06-10,2026-06-16,0.001938,2026-06-24,-0.052110,true
E273,002335,2026-04-27,2026-04-28,2026-05-07,0.091517,2026-05-14,0.038036,true
E276,002594,2026-04-13,2026-04-14,2026-04-20,-0.000874,2026-04-27,-0.006408,true
E277,601127,2026-04-13,2026-04-14,2026-04-20,-0.009212,2026-04-27,-0.002442,true
E278,000625,2026-04-13,2026-04-14,2026-04-20,-0.008885,2026-04-27,-0.029615,true
E279,601633,2026-04-13,2026-04-14,2026-04-20,-0.035545,2026-04-27,-0.058294,true
E280,600104,2026-04-13,2026-04-14,2026-04-20,-0.016973,2026-04-27,-0.031117,true
E282,601127,2026-03-31,2026-04-01,2026-04-08,-0.019672,2026-04-15,-0.038136,true
E284,000625,2026-03-07,2026-03-09,2026-03-13,0.001852,2026-03-20,-0.037963,true
E286,601633,2026-04-18,2026-04-20,2026-04-24,-0.023576,2026-05-06,-0.039293,true
E287,002594,2025-01-23,2025-01-24,2025-02-07,0.184810,2025-02-14,0.291800,true
E288,601127,2025-01-23,2025-01-24,2025-02-07,0.019045,2025-02-14,-0.062676,true
E289,000625,2025-01-23,2025-01-24,2025-02-07,0.082855,2025-02-14,0.088597,true
E290,601633,2025-01-23,2025-01-24,2025-02-07,0.050314,2025-02-14,0.049057,true
E291,600104,2025-01-23,2025-01-24,2025-02-07,0.110699,2025-02-14,0.128015,true
E298,600104,2026-04-02,2026-04-03,2026-04-10,-0.011872,2026-04-17,-0.027933,true
E299,300750,2024-08-16,2024-08-19,2024-08-23,0.052918,2024-08-30,0.068825,true
