trade_date,signal_date,split,strategy,position,market_open_return,turnover,cost_bps,net_return,nav,trend_score,active_text_score,validation_std
2026-01-05,2025-12-31,oos,pure_trend,0.9893158542347099,0.060799999999999965,0.010370116236949833,5.0,0.060145218879351856,1.9901147227637026,0.9893158542347099,0.0,0.11406610432427126
2026-01-05,2025-12-31,oos,zero_shot_llm,0.692521097964297,0.060799999999999965,0.00725908136586495,5.0,0.0421016532155463,1.665259888612026,0.9893158542347099,0.0,0.11406610432427126
2026-01-05,2025-12-31,oos,rift_enhanced_trend,0.5125210979642969,0.060799999999999965,0.007259081365864839,5.0,0.0311576532155463,1.6782668032332295,0.9893158542347099,-0.6,0.11406610432427126
2026-01-06,2026-01-05,oos,pure_trend,0.9977501783802887,0.08597285067873295,0.008434324145578764,5.0,0.08577520993849494,2.1608172309104487,0.9977501783802887,0.0,0.11406610432427126
2026-01-06,2026-01-05,oos,zero_shot_llm,0.698425124866202,0.08597285067873295,0.005904026901905057,5.0,0.06004264695694645,1.7652465001955218,0.9977501783802887,0.0,0.11406610432427126
2026-01-06,2026-01-05,oos,rift_enhanced_trend,0.518425124866202,0.08597285067873295,0.005904026901905057,5.0,0.04456753383477451,1.7530630157701053,0.9977501783802887,-0.6,0.11406610432427126
2026-01-07,2026-01-06,oos,pure_trend,0.9996701221782511,-0.021805555555555522,0.0019199437979624534,5.0,-0.02179932235828581,2.1137128795364934,0.9996701221782511,0.0,0.11406610432427126
2026-01-07,2026-01-06,oos,zero_shot_llm,0.6997690855247758,-0.021805555555555522,0.001343960658573784,5.0,-0.01525952565080007,1.7383096759458032,0.9996701221782511,0.0,0.11406610432427126
2026-01-07,2026-01-06,oos,rift_enhanced_trend,0.5197690855247759,-0.021805555555555522,0.001343960658573895,5.0,-0.011334525650800077,1.73319287805039,0.9996701221782511,-0.6,0.11406610432427126
2026-01-08,2026-01-07,oos,pure_trend,0.999690715438897,0.008093142126934572,2.059326064585143e-05,5.0,0.008090628746393576,2.1308141457212937,0.999690715438897,0.0,0.11406610432427126
2026-01-08,2026-01-07,oos,zero_shot_llm,0.6997835008072278,0.008093142126934572,1.4415282452051592e-05,5.0,0.0056634401224755025,1.7481544887098421,0.999690715438897,0.0,0.11406610432427126
2026-01-08,2026-01-07,oos,rift_enhanced_trend,0.5197835008072278,0.008093142126934572,1.441528245194057e-05,5.0,0.004206674539627279,1.7404838564027478,0.999690715438897,-0.6,0.11406610432427126
2026-01-09,2026-01-08,oos,pure_trend,0.9998958425583095,0.09901408450704219,0.00020512711941256256,5.0,0.09900366888974892,2.3417725638698776,0.9998958425583095,0.0,0.11406610432427126
2026-01-09,2026-01-08,oos,zero_shot_llm,0.6999270897908166,0.09901408450704219,0.0001435889835887938,5.0,0.06930256822282423,1.8693060844276925,0.9998958425583095,0.0,0.11406610432427126
2026-01-09,2026-01-08,oos,rift_enhanced_trend,0.6653816352453621,0.09901408450704219,0.1455981344381343,5.0,0.06580935439439914,1.8550239753264868,0.9998958425583095,-0.11515151515151519,0.11406610432427126
2026-01-12,2026-01-09,oos,pure_trend,0.9996554932823469,0.0765090349865436,0.00024034927596261468,5.0,0.0764825569353916,2.5208773173157932,0.9996554932823469,0.0,0.11406610432427126
2026-01-12,2026-01-09,oos,zero_shot_llm,0.6997588452976428,0.0765090349865436,0.0001682444931738747,5.0,0.053537789854774115,1.969384600750033,0.9996554932823469,0.0,0.11406610432427126
2026-01-12,2026-01-09,oos,rift_enhanced_trend,0.6754345209733185,0.0765090349865436,0.010052885727956373,5.0,0.05167181695340296,1.9508764346237308,0.9996554932823469,-0.08108108108108103,0.11406610432427126
2026-01-13,2026-01-12,oos,pure_trend,0.9999210122788016,0.005952380952380931,0.00026551899645466115,5.0,0.00595177802787557,2.535881019543963,0.9999210122788016,0.0,0.11406610432427126
2026-01-13,2026-01-12,oos,zero_shot_llm,0.6999447085951611,0.005952380952380931,0.00018586329751835162,5.0,0.0041662446195129,1.9775895387466595,0.9999210122788016,0.0,0.11406610432427126
2026-01-13,2026-01-12,oos,rift_enhanced_trend,0.6981265267769793,0.005952380952380931,0.02269200580366082,5.0,0.004144169037437318,1.9589611963399647,0.9999210122788016,-0.006060606060606094,0.11406610432427126
2026-01-14,2026-01-13,oos,pure_trend,0.9999919836861108,-0.030532544378698234,7.097140730916163e-05,5.0,-0.03053233510594231,2.4584546504664484,0.9999919836861108,0.0,0.11406610432427126
2026-01-14,2026-01-13,oos,zero_shot_llm,0.6999943885802775,-0.030532544378698234,4.967998511640204e-05,5.0,-0.02137263457415962,1.9353232401973464,0.9999919836861108,0.0,0.11406610432427126
2026-01-14,2026-01-13,oos,rift_enhanced_trend,0.7224943885802775,-0.030532544378698234,0.024367861803298196,5.0,-0.022071775913589418,1.9157234437909318,0.9999919836861108,0.075,0.11406610432427126
2026-01-15,2026-01-14,oos,pure_trend,0.9999482676719929,-0.0037841796875,4.371601411790049e-05,5.0,-0.003784005781082227,2.449151843856555,0.9999482676719929,0.0,0.11406610432427126
2026-01-15,2026-01-14,oos,zero_shot_llm,0.699963787370395,-0.0037841796875,3.060120988251924e-05,5.0,-0.0026488040467575595,1.9301969481669277,0.9999482676719929,0.0,0.11406610432427126
2026-01-15,2026-01-14,oos,rift_enhanced_trend,0.7378585242125003,-0.0037841796875,0.01536413563222283,5.0,-0.002799871307389782,1.9103596646877676,0.9999482676719929,0.12631578947368424,0.11406610432427126
2026-01-16,2026-01-15,oos,pure_trend,0.9999636015582186,-0.09569905648817545,1.5333886225765703e-05,5.0,-0.09569558085858244,2.214778835547834,0.9999636015582186,0.0,0.11406610432427126
2026-01-16,2026-01-15,oos,zero_shot_llm,0.699974521090753,-0.09569905648817545,1.073372035798048e-05,5.0,-0.0669869066010077,1.8008990254785195,0.9999636015582186,0.0,0.11406610432427126
2026-01-16,2026-01-15,oos,rift_enhanced_trend,0.699974521090753,-0.09569905648817545,0.037884003121747334,5.0,-0.06700584323570839,1.7823544044718787,0.9999636015582186,0.0,0.11406610432427126
2026-01-19,2026-01-16,oos,pure_trend,0.9953710296134608,0.01287262872628725,0.004592571944757817,5.0,0.012810745423143973,2.243151803378604,0.9953710296134608,0.0,0.11406610432427126
2026-01-19,2026-01-16,oos,zero_shot_llm,0.6967597207294225,0.01287262872628725,0.003214800361330483,5.0,0.00896752179620078,1.817048626742255,0.9953710296134608,0.0,0.11406610432427126
2026-01-19,2026-01-16,oos,rift_enhanced_trend,0.6967597207294225,0.01287262872628725,0.003214800361330483,5.0,0.00896752179620078,1.7983377064425348,0.9953710296134608,0.0,0.11406610432427126
2026-01-20,2026-01-19,oos,pure_trend,0.9977485346546742,0.07424749163879607,0.002377505041213368,5.0,0.07407913723187336,2.4093225536530123,0.9977485346546742,0.0,0.11406610432427126
