trade_date,monetary_policy,liquidity,growth,inflation,bond_supply,risk_appetite,rule_pressure,supporting_document_count,structured_observation_count,independent_event_count,monetary_policy_independent_event_count,liquidity_independent_event_count,growth_independent_event_count,inflation_independent_event_count,bond_supply_independent_event_count,risk_appetite_independent_event_count,monetary_policy_evidence_status,liquidity_evidence_status,growth_evidence_status,inflation_evidence_status,bond_supply_evidence_status,risk_appetite_evidence_status
2018-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,148,1,132,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-12,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,149,1,133,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-13,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,149,1,133,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-14,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,149,1,133,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-22,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,3,8,150,1,134,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-23,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,3,8,150,1,134,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-24,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,150,1,134,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-26,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,3,8,151,1,135,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-27,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,151,1,135,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-02-28,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,151,1,135,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-01,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,151,1,135,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-02,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,151,1,135,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
