trade_date,rank_ic_5d,sample_count
2024-01-22,0.084432,30
2024-02-21,-0.129368,30
2024-04-01,0.043396,30
2024-04-03,0.037103,30
2024-04-25,0.260061,30
2024-05-24,-0.023361,30
2024-07-26,-0.074205,30
2025-02-28,-0.050434,30
2025-07-01,0.172985,30
2025-07-21,0.128315,30
2025-08-18,-0.124090,30
2025-08-28,-0.195903,30
2025-10-27,0.086916,30
2025-10-30,0.074838,30
2025-10-31,-0.103063,30
2025-11-03,0.067162,30
2025-11-17,-0.126657,30
2025-12-15,0.182421,30
2025-12-22,0.157786,30
2025-12-24,-0.022974,30
2026-01-09,0.084624,30
2026-01-13,-0.099418,29
2026-03-13,0.080625,30
2026-03-16,0.232778,30
2026-03-24,0.010650,30
2026-03-30,-0.047595,30
2026-04-17,0.070149,30
2026-04-22,-0.093787,30
2026-04-30,-0.146175,30
2026-05-06,-0.120643,30
2026-05-22,-0.130276,30
2026-06-01,0.031177,30
2026-06-08,-0.207945,30
