trade_date,cgb_10y_yield,dr007_proxy,dr007_proxy_name,cgb_source_url,liquidity_source_url,cgb_source_sha256,liquidity_source_sha256,ingested_at
2026-01-16,1.8424,1.4200,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-19,1.8393,1.4800,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-20,1.8326,1.4900,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-21,1.8312,1.4900,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-22,1.8425,1.5000,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-23,1.8298,1.4900,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-26,1.8242,1.5600,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-27,1.8311,1.5800,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-28,1.8164,1.5900,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-29,1.8174,1.5800,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
2026-01-30,1.8112,1.6000,FDR007_FIXING,https://yield.chinabond.com.cn/cbweb-mn/yc/downYearBzqx?year=2026&wrjxCBFlag=0&zblx=txy&ycDefId=2c9081e50a2f9606010a3068cae70001&locale=en_US,https://www.chinamoney.com.cn/ags/ms/cm-u-bk-currency/FrrHis?lang=CN&startDate=2026-01-01&endDate=2026-12-31,ca625c2970ddcad8eb8777f13e139356276698a4c2f5d24b8bf4b89807e59ade,85dcdf0fb1266171bca250ddf6ff40e1ff2f642e104d68bcc775dfb3655a707a,2026-08-30T19:09:06+08:00
