run_at,requested_end,previous_market_day,latest_market_day,status,recorded_decisions,settled_decisions,pending_decisions,bootstrap_observations,annualized_net_return_difference,ci_lower_95,conclusion,prefix_manifest_sha256
2026-08-14T20:51:56+08:00,2026-08-14,2026-08-14,2026-08-14,no_new_market_data,1,0,1,0,0.0,0.0,前瞻交易增量待检验,0e68308142142bfcf9390af76da3d10bb26a5fc7d82224c3def0a2a64d2e8fe5
2026-08-15T01:49:00+08:00,2026-08-14,2026-08-14,2026-08-14,no_new_market_data,1,0,1,0,0.0,0.0,前瞻交易增量待检验,0e68308142142bfcf9390af76da3d10bb26a5fc7d82224c3def0a2a64d2e8fe5
2026-08-15T02:04:27+08:00,2026-08-14,2026-08-14,2026-08-14,no_new_market_data,1,0,1,0,0.0,0.0,前瞻交易增量待检验,0e68308142142bfcf9390af76da3d10bb26a5fc7d82224c3def0a2a64d2e8fe5
