source_type,total_documents,p0_scope_documents,p0_completed_estimate,p0_pending_candidates,first_batch_target,first_batch_remaining,completed_with_generic_url
policy,30,25,25,0,20,0,0
announcement,30,25,25,0,20,0,0
news,30,25,25,0,20,0,0
ir_qa,30,25,25,0,10,0,0
